indice,tiempo_s,velocidad_mps,velocidad_sin_media
300,30.0,0.987,0.04896268656716418
301,30.09899999999999,0.94,0.0019626865671641402
302,30.198999999999984,0.929,-0.009037313432835758
303,30.302999999999997,0.976,0.03796268656716417
304,30.399,1.042,0.10396268656716423
305,30.50199999999998,1.002,0.0639626865671642
306,30.599999999999994,1.007,0.06896268656716409
307,30.69999999999999,0.944,0.005962686567164144
308,30.800999999999988,0.941,0.002962686567164141
309,30.900999999999982,1.034,0.09596268656716422
310,31.0,1.052,0.11396268656716424
311,31.099999999999994,1.068,0.12996268656716425
312,31.19999999999999,1.024,0.08596268656716421
313,31.302999999999997,0.963,0.02496268656716416
314,31.399999999999977,0.961,0.02296268656716416
315,31.500999999999976,0.985,0.04696268656716418
316,31.599999999999994,0.993,0.05496268656716419
317,31.69999999999999,1.001,0.06296268656716408
318,31.799999999999983,1.013,0.0749626865671641
319,31.899999999999977,0.938,-3.7313432835861526e-05
320,32.0,0.891,-0.04703731343283579
321,32.099999999999994,0.883,-0.0550373134328358
322,32.19999999999999,0.911,-0.027037313432835774
323,32.303999999999974,0.96,0.021962686567164158
324,32.39999999999998,0.959,0.020962686567164157
325,32.50199999999998,0.957,0.018962686567164155
326,32.599999999999994,0.908,-0.030037313432835777
327,32.69999999999999,0.866,-0.07203731343283581
328,32.80099999999999,0.872,-0.06603731343283581
329,32.89999999999998,0.927,-0.01103731343283576
330,33.0,0.979,0.040962686567164175
331,33.099999999999994,0.98,0.041962686567164176
332,33.198999999999984,0.885,-0.0530373134328358
333,33.303999999999974,0.846,-0.09203731343283583
334,33.39999999999998,0.871,-0.06703731343283581
335,33.50199999999998,0.889,-0.049037313432835794
336,33.599999999999994,1.007,0.06896268656716409
337,33.69999999999999,1.03,0.09196268656716422
338,33.80099999999999,1.006,0.0679626865671642
339,33.89999999999999,0.938,-3.7313432835861526e-05
340,33.99899999999998,0.891,-0.04703731343283579
341,34.09999999999998,0.907,-0.031037313432835778
342,34.2,1.037,0.09896268656716412
343,34.30300000000001,1.104,0.16596268656716429
344,34.399000000000015,1.024,0.08596268656716421
345,34.50199999999997,1.088,0.14996268656716427
346,34.59999999999998,0.943,0.004962686567164143
347,34.7,0.858,-0.08003731343283582
348,34.801,0.874,-0.06403731343283581
349,34.89999999999999,0.932,-0.006037313432835756
350,35.000000000000014,0.986,0.04796268656716418
351,35.09999999999998,1.064,0.12596268656716425
352,35.19899999999997,0.996,0.05796268656716419
353,35.30300000000001,0.97,0.03196268656716417
354,35.399000000000015,0.927,-0.01103731343283576
355,35.50199999999997,0.962,0.02396268656716416
356,35.59999999999998,1.024,0.08596268656716421
357,35.7,1.049,0.11096268656716413
358,35.801,0.994,0.05596268656716419
359,35.89999999999999,0.998,0.05996268656716419
360,36.000000000000014,0.911,-0.027037313432835774
361,36.099000000000004,0.933,-0.005037313432835755
362,36.19899999999997,0.953,0.014962686567164152
363,36.30300000000001,0.946,0.007962686567164146
